OUTCOME,Exposure.Coefficient,Std.Error Coef.Exp,Residual Variance of Model,Components of Variance Correlation,VAR COR,SD COR,Model Structure,IQR of Exposure,Coef IQR

FeNO_avg,-0.779159923239321,1.44662788165849,433.933541964696, , , ,x ~ endo_m3 + age + gender + race_afam + season,2.43571770862917,-0.319889255014628

log_FeNO_avg,-0.0101178915208294,0.0480288933839652,0.478315791752071, , , ,x ~ endo_m3 + age + gender + race_afam + season,2.43571770862917,-0.00415396722082537

cbc_wbc,0.121647855612388,0.105189038106244,2.3247688896752, , , ,x ~ endo_m3 + age + gender + race_afam + season,2.43571770862917,0.0499433309457081

log_cbc_wbc,0.0183363838462654,0.0157032528307325,0.0518105334575161, , , ,x ~ endo_m3 + age + gender + race_afam + season,2.43571770862917,0.00752812355114221

cbc_abs_eos,-0.011989979052019,0.0114806480329779,0.0276931031487372, , , ,x ~ endo_m3 + age + gender + race_afam + season,2.43571770862917,-0.00492256512712509

cbc_abs_neut,0.150574639579724,0.0746108179270304,1.16961362745678, , , ,x ~ endo_m3 + age + gender + race_afam + season,2.43571770862917,0.0618194132457445

log_cbc_abs_neut,0.0524529402033961,0.0222396668127616,0.103919098535381, , , ,x ~ endo_m3 + age + gender + race_afam + season,2.43571770862917,0.0215349011987588

cbc_percent_eos,-0.287295025742128,0.182989479457386,7.03543672022092, , , ,x ~ endo_m3 + age + gender + race_afam + season,2.43571770862917,-0.117950871204947

cbc_percent_neut,1.52032723957378,0.599687400119373,75.5594287491706, , , ,x ~ endo_m3 + age + gender + race_afam + season,2.43571770862917,0.624180394217123

log_cbc_percent_neut,0.0341165563571309,0.0125460247139655,0.0330712869160301, , , ,x ~ endo_m3 + age + gender + race_afam + season,2.43571770862917,0.0140067776476166

CASI_Total_wFxn,-0.0206976118140104,0.201659733354817,8.16296590818205, , , ,x ~ endo_m3 + age + gender + race_afam + season,2.43571770862917,-0.00849754129580931

CACT_ACT_cont,0.238477878993505,0.34974674451771,23.4171315127174, , , ,x ~ endo_m3 + age + gender + race_afam + season,2.43571770862917,0.0979086690336218

FEV1_pp_GLI,0.68210874467018,1.15185882970826,281.830284622096, , , ,x ~ endo_m3 + season,2.43571770862917,0.280044252358815

FEV1_Zscore_GLI,0.0547666877998505,0.0947066277041467,1.90524088637102, , , ,x ~ endo_m3 + season,2.43571770862917,0.022484825563252

FVC_pp_GLI,0.916372172232412,0.834735452993551,148.00857122712, , , ,x ~ endo_m3 + season,2.43571770862917,0.376222650509098

FVC_Zscore_GLI,0.0806961237431724,0.0686292187904434,1.00047734377542, , , ,x ~ endo_m3 + season,2.43571770862917,0.0331303268261693

FEV1_FVC,-0.00187514530416656,0.00667414033872844,0.00946193186770968, , , ,x ~ endo_m3 + season,2.43571770862917,-0.000769853295200574

FEV1_FVC_pp_GLI,-0.0275143770881648,0.759217551724718,122.43952241202, , , ,x ~ endo_m3 + season,2.43571770862917,-0.0112962093228981

FEV1_FVC_Zscore_GLI,-0.00304286479151954,0.0866535999735721,1.59500617052049, , , ,x ~ endo_m3 + season,2.43571770862917,-0.00124926824678385

FEF2575_pp_GLI,0.978018761898304,2.09156602004696,929.249428849518, , , ,x ~ endo_m3 + season,2.43571770862917,0.401532065244432

FEF2575_Zscore_GLI,0.033278890589871,0.10126543214585,2.1782693889745, , , ,x ~ endo_m3 + season,2.43571770862917,0.0136628684317447

FeNO_avg,0.00935975810978996,0.0330153126106472,436.958975190022, , , ,x ~ gluc_m3 + age + gender + race_afam + season,144.496331787202,6.4775056875312e-05

log_FeNO_avg,0.00123109373908306,0.00106977677867008,0.458771224381951, , , ,x ~ gluc_m3 + age + gender + race_afam + season,144.496331787202,8.519896137544e-06

cbc_wbc,-0.00325357710677856,0.00257209337104397,2.30544353612654, , , ,x ~ gluc_m3 + age + gender + race_afam + season,144.496331787202,-2.25166761435167e-05

log_cbc_wbc,-0.0005581289667117,0.000380851998590741,0.0505467815223909, , , ,x ~ gluc_m3 + age + gender + race_afam + season,144.496331787202,-3.86258225249378e-06

cbc_abs_eos,-0.000461332961312755,0.000274340286268878,0.0262276998453011, , , ,x ~ gluc_m3 + age + gender + race_afam + season,144.496331787202,-3.19269669760305e-06

cbc_abs_neut,0.000372779711828375,0.0019512385469603,1.32678869914323, , , ,x ~ gluc_m3 + age + gender + race_afam + season,144.496331787202,2.57985588435119e-06

log_cbc_abs_neut,2.09603935469918e-05,0.000594544975380761,0.123182909101707, , , ,x ~ gluc_m3 + age + gender + race_afam + season,144.496331787202,1.45058309008563e-07

cbc_percent_eos,-0.00491778579916218,0.0045870926682411,7.33256729709798, , , ,x ~ gluc_m3 + age + gender + race_afam + season,144.496331787202,-3.40339836889738e-05

cbc_percent_neut,0.0269773099914991,0.0154601952491855,83.293474517911, , , ,x ~ gluc_m3 + age + gender + race_afam + season,144.496331787202,0.000186698926248372

log_cbc_percent_neut,0.000579089360258688,0.000327283773344916,0.037327592226088, , , ,x ~ gluc_m3 + age + gender + race_afam + season,144.496331787202,4.00764056150232e-06

CASI_Total_wFxn,0.000458034330202686,0.00468426058044365,8.16323969347476, , , ,x ~ gluc_m3 + age + gender + race_afam + season,144.496331787202,3.169868221134e-06

CACT_ACT_cont,0.00196978974067673,0.00832267107791025,23.7846327463638, , , ,x ~ gluc_m3 + age + gender + race_afam + season,144.496331787202,1.36321089699192e-05

FEV1_pp_GLI,0.055800687963814,0.0246829909259918,245.68094172235, , , ,x ~ gluc_m3 + season,144.496331787202,0.000386173733780253

FEV1_Zscore_GLI,0.0047408559657639,0.00201784662072008,1.64192080043367, , , ,x ~ gluc_m3 + season,144.496331787202,3.28095246926109e-05

FVC_pp_GLI,0.0435850901153987,0.0179303295844901,129.64400716359, , , ,x ~ gluc_m3 + season,144.496331787202,0.000301634578375221

FVC_Zscore_GLI,0.00372872709124156,0.00146756204316652,0.868498039443368, , , ,x ~ gluc_m3 + season,144.496331787202,2.58049948059084e-05

FEV1_FVC,0.000125292129449521,0.00015176104646814,0.0092874508008672, , , ,x ~ gluc_m3 + season,144.496331787202,8.67095571907231e-07

FEV1_FVC_pp_GLI,0.0150992128459027,0.0172197161338962,119.571554875604, , , ,x ~ gluc_m3 + season,144.496331787202,0.000104495475138698

FEV1_FVC_Zscore_GLI,0.00203118614010194,0.00195616662029868,1.54307696730793, , , ,x ~ gluc_m3 + season,144.496331787202,1.40570083335627e-05

FEF2575_pp_GLI,0.0785150578326324,0.0461247609627776,857.914796089998, , , ,x ~ gluc_m3 + season,144.496331787202,0.000543370595374425

FEF2575_Zscore_GLI,0.00377860653433294,0.00223020453213139,2.00569683455683, , , ,x ~ gluc_m3 + season,144.496331787202,2.61501900262607e-05

FeNO_avg,2.25669340608275,1.12927927991829,470.975073957911, , , ,x ~ vest_O3 + age + gender + race_afam,4.80028106288265,0.470116932013054

log_FeNO_avg,0.0505945879195109,0.0383342441590103,0.542711485542765, , , ,x ~ vest_O3 + age + gender + race_afam,4.80028106288265,0.0105399219872196

cbc_wbc,0.052776586350106,0.144052370139045,2.77179488482752, , , ,x ~ vest_O3 + age + gender + race_afam,4.80028106288265,0.01099447837715

log_cbc_wbc,0.00678019582430871,0.0202056971993829,0.0545340752734687, , , ,x ~ vest_O3 + age + gender + race_afam,4.80028106288265,0.00141245809057628

cbc_abs_eos,-0.0122786370251466,0.0149431560802383,0.0298266815732559, , , ,x ~ vest_O3 + age + gender + race_afam,4.80028106288265,-0.00255789960302305

cbc_abs_neut,0.121144179405216,0.0902435200704531,1.0878081965738, , , ,x ~ vest_O3 + age + gender + race_afam,4.80028106288265,0.025236892969027

log_cbc_abs_neut,0.044206317409816,0.0265743703141611,0.0943292187745767, , , ,x ~ vest_O3 + age + gender + race_afam,4.80028106288265,0.00920911022307293

cbc_percent_eos,-0.177401562655382,0.214058725484051,6.12048929998939, , , ,x ~ vest_O3 + age + gender + race_afam,4.80028106288265,-0.0369564949075815

cbc_percent_neut,1.61467070175322,0.588882972069654,46.3210361640408, , , ,x ~ vest_O3 + age + gender + race_afam,4.80028106288265,0.336370033462911

log_cbc_percent_neut,0.0374261215855079,0.0132995582134307,0.0236262449318353, , , ,x ~ vest_O3 + age + gender + race_afam,4.80028106288265,0.00779665213249677

CASI_Total_wFxn,-0.0520886369819132,0.159357116152678,8.93829311437185, , , ,x ~ vest_O3 + age + gender + race_afam,4.80028106288265,-0.0108511639838508

